borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Following Too Closely,Unspecified,,,,,2021-05-29T21:30:00,,,,0,0,1,0,0,0,1,0,,BELT PARKWAY,4422011,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,,2021-06-10T11:48:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN BRIDGE,4425594,Sedan,Sedan,Sedan,,,
,Unspecified,Unspecified,,,,,2021-02-25T13:30:00,,,,0,0,0,0,0,0,0,0,,MAJOR DEEGAN EXPRESSWAY RAMP    ,4394543,Tractor Truck Diesel,Sedan,,,,
,Unsafe Lane Changing,Unsafe Speed,,,,,2021-03-20T06:57:00,,,,0,0,0,0,0,0,0,0,,NASSAU EXPRESSWAY               ,4400442,Station Wagon/Sport Utility Vehicle,,,,,
,Alcohol Involvement,Unspecified,,,,JUNCTION BOULEVARD,2021-04-01T08:38:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,4403577,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,PHILIP AVENUE,2021-03-07T19:16:00,,,,0,0,0,0,0,0,0,0,,LOGAN AVENE                     ,4397107,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,,,,,,2020-12-13T01:22:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER          ,4376014,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,Unspecified,Unspecified,,,,2021-01-09T12:08:00,,,,0,0,0,0,0,0,0,0,,MAJOR DEEGAN EXPRESSWAY RAMP    ,4382560,Sedan,Sedan,Sedan,,,
,Failure to Yield Right-of-Way,,,,,WHITESTONE EXPRESSWAY,2021-01-13T15:10:00,,,,0,0,0,0,1,0,1,0,,COLLEGE POINT BOULEVARD         ,4383776,Pick-up Truck,,,,,
,Following Too Closely,Unspecified,,,,,2020-11-30T22:17:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER          ,4372386,Sedan,Sedan,,,,
,Unsafe Lane Changing,Unspecified,,,,,2016-03-28T14:10:00,,,,0,0,0,0,0,0,0,0,1 AVENUE                                ,,3408646,4 dr sedan,,,,,
,Following Too Closely,Unspecified,,,,,2021-07-02T09:30:00,,,,0,0,1,0,0,0,1,0,,VERRAZANO BRIDGE,4434283,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unsafe Lane Changing,Unspecified,,,,,2021-07-29T00:05:00,,,,0,0,2,0,0,0,2,0,,THROGS NECK BRIDGE,4442297,Carry All,Sedan,,,,
,Unspecified,Unspecified,,,,OCEAN PARKWAY,2021-08-17T14:13:00,,,,0,0,0,0,0,0,0,0,,CHURCH AVENUE,4448432,Box Truck,Taxi,,,,
,Unsafe Lane Changing,Unspecified,,,,,2021-08-17T11:45:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN BATTERY TUNNEL,4448102,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Other Vehicular,Other Vehicular,Other Vehicular,Unsafe Speed,,,2020-09-28T00:16:00,,,,0,0,0,0,0,0,0,0,,BELT PARKWAY                    ,4352413,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,Unspecified,Unspecified,,,,,2020-09-05T21:00:00,,,,0,0,0,0,0,0,0,0,20        BRONX SHORE ROAD              ,,4345347,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2020-09-28T00:12:00,,,,0,0,1,0,0,0,1,0,,MURDOCK AVENUE                  ,4352274,Sedan,Sedan,,,,
,Unsafe Lane Changing,Unspecified,,,,,2020-10-07T23:25:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE                       ,4355638,Taxi,Sedan,,,,
,Unsafe Speed,,,,,,2020-07-22T11:20:00,,,,0,0,0,0,0,0,0,0,,QUEENS MIDTOWN TUNNEL           ,4331318,Station Wagon/Sport Utility Vehicle,,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2020-08-10T08:20:00,,,,0,0,3,0,0,0,3,0,,BROOKLYN BRIDGE                 ,4337100,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
,Unsafe Lane Changing,Unspecified,,,,,2020-06-12T18:00:00,,,,0,0,0,0,0,0,0,0,,TRIBOROUGH BRIDGE               ,4320703,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,23 AVENUE,2020-04-16T21:00:00,,,,0,0,0,0,1,0,1,0,,BAYCLUB DRIVE                   ,4309160,Sedan,,,,,
,Alcohol Involvement,Driver Inattention/Distraction,,,,,2020-06-10T21:18:00,,,,0,0,1,0,0,0,1,0,,BELL BOULEVARD                  ,4319127,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2021-09-15T15:07:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN QUEENS EXPRESSWAY,4457853,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,
,Following Too Closely,Following Too Closely,Unspecified,,,,2021-11-04T19:50:00,,,,0,0,1,0,0,0,1,0,,NASSAU EXPRESSWAY,4474341,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2021-11-08T10:55:00,,,,0,0,0,0,0,0,0,0,,GOWANUS RAMP,4475463,Pallet,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,,2019-12-21T00:45:00,,,,0,0,0,0,0,0,0,0,,HUTCHINSON RIVER PARKWAY        ,4262520,Sedan,Sedan,,,,
,Unspecified,,,,,,2021-11-09T15:22:00,,,,1,0,0,0,0,0,1,0,,BROOKLYN BRIDGE,4476458,Bike,,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2019-12-28T20:45:00,,,,0,0,0,0,0,0,0,0,,QUEENSBORO BRIDGE UPPER         ,4265936,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,Unspecified,,,,,2020-02-04T09:30:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN QUEENS EXPRESSWAY RAMP ,4283440,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,SHORE PARKWAY,2020-01-30T13:20:00,,,,0,0,0,0,0,0,0,0,,156 AVENUE                      ,4281444,Sedan,Sedan,Sedan,,,
,Driver Inattention/Distraction,Unspecified,,,,,2022-02-01T13:00:00,,,,0,0,2,0,0,0,2,0,,HARLEM RIVER DRIVE RAMP,4500269,Station Wagon/Sport Utility Vehicle,Taxi,,,,
,Passing or Lane Usage Improper,Unspecified,,,,,2021-11-21T13:58:00,,,,0,0,1,0,0,0,1,0,,THROGS NECK BRIDGE,4482871,Sedan,Pick-up Truck,,,,
,Turning Improperly,Traffic Control Disregarded,,,,RIDGE STREET,2021-12-03T08:18:00,,,,0,0,0,0,0,0,1,0,,GRAND STREET,4483178,Sedan,E-Scooter,,,,
,Turning Improperly,Unspecified,,,,,2021-12-07T10:37:00,,,,0,0,1,0,0,0,1,0,4201      BRONX BOULEVARD,,4485006,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,FDR DRIVE,2021-12-31T22:50:00,,,,0,0,3,0,0,0,3,0,,EAST 14 STREET,4491157,Taxi,Sedan,,,,
,Unspecified,Unspecified,,,,HUTCHINSON RIVER PARKWAY,2022-01-26T09:51:00,,,,0,0,0,0,0,0,0,0,,LAFAYETTE AVENUE,4497532,Sedan,ambulance,,,,
,Passing Too Closely,Unspecified,,,,120 AVENUE,2022-01-28T08:00:00,,,,0,0,0,0,0,0,0,0,,201 PLACE,4498317,Sedan,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2019-11-19T17:35:00,,,,0,0,0,0,0,0,0,0,,MAJOR DEEGAN EXPRESSWAY RAMP    ,4244008,Sedan,Tractor Truck Diesel,,,,
,Unspecified,Unspecified,,,,,2019-12-08T23:20:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER EXPRESSWAY             ,4254484,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,,
,Unspecified,Unspecified,,,,,2019-10-17T09:37:00,,,,0,0,0,0,0,0,0,0,,HUTCHINSON RIVER PARKWAY RAMP   ,4226462,Station Wagon/Sport Utility Vehicle,Bus,,,,
,Unsafe Speed,Unspecified,,,,,2019-11-12T09:10:00,,,,0,0,2,0,0,0,2,0,,FOREST PARK DRIVE               ,4240770,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,,2019-10-05T15:00:00,,,,0,0,0,0,0,0,0,0,,HUTCHINSON RIVER PARKWAY RAMP   ,4218748,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,VANWYCK EXPRESSWAY,2019-09-23T15:30:00,,,,0,0,1,0,0,0,1,0,,LINDEN BOULEVARD                ,4211103,Sedan,Bus,Sedan,,,
,Following Too Closely,Unspecified,,,,,2019-09-17T17:45:00,,,,0,0,0,0,0,0,0,0,,GOWANUS RAMP                    ,4208510,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,WHITE PLAINS ROAD,2022-04-25T11:04:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY NORTH,4522121,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2022-04-26T06:25:00,,,,0,0,2,0,0,0,2,0,,VERRAZANO BRIDGE UPPER,4522694,Pick-up Truck,Sedan,,,,
,Unsafe Lane Changing,Unspecified,,,,,2022-04-30T17:34:00,,,,0,0,0,0,0,0,0,0,,THROGS NECK BRIDGE,4525868,Sedan,,,,,
,Driver Inattention/Distraction,,,,,,2022-05-08T06:28:00,,,,0,0,0,0,0,0,0,0,,QUEENSBORO BRIDGE UPPER,4525680,Sedan,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2022-05-10T09:00:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN BRIDGE,4526550,Sedan,Sedan,,,,
,Following Too Closely,Driver Inattention/Distraction,,,,,2022-05-20T13:00:00,,,,0,0,0,0,0,0,0,0,,WILLIS AVE BRIDGE,4529557,Sedan,Box Truck,,,,
,Unspecified,Unspecified,,,,3 AVENUE,2019-07-03T15:50:00,,,,0,0,0,0,0,0,0,0,,HAMILTON AVENUE                 ,4163924,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,,,,EASTCHESTER ROAD,2019-07-17T19:08:00,,,,0,0,1,0,0,0,1,0,,PELHAM PARKWAY SOUTH            ,4172323,Sedan,Sedan,,,,
,Backing Unsafely,Unspecified,,,,Grove Street,2022-06-03T14:27:00,,,,0,0,0,0,0,0,1,0,,Grove St,4534593,E-Bike,Sedan,,,,
,Unspecified,Unspecified,,,,,2022-06-04T06:00:00,,,,0,0,1,0,0,0,1,0,,WILLIAMSBURG BRIDGE OUTER ROADWA,4533981,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,Unspecified,Unspecified,,,2022-06-16T08:40:00,,,,0,0,0,0,0,0,0,0,,NORTH CONDUIT AVENUE,4537913,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
,Following Too Closely,Unspecified,,,,,2022-06-19T13:44:00,,,,0,0,1,0,0,0,1,0,,BRONX WHITESTONE BRIDGE,4539394,Sedan,Sedan,,,,
,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,,,ROEBLING AVENUE,2019-06-17T09:09:00,,,,0,0,0,0,0,0,0,0,,HUTCHINSON RIVER PARKWAY EAST   ,4153503,Sedan,Sedan,Sedan,,,
,Traffic Control Disregarded,Traffic Control Disregarded,,,,,2019-06-14T13:30:00,,,,0,0,0,0,0,0,0,0,,30 AVENUE                       ,4152770,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2019-05-29T14:00:00,,,,0,0,1,0,0,0,1,0,,BELT PARKWAY                    ,4141252,Sedan,Sedan,Sedan,,,
,Unsafe Lane Changing,Unspecified,,,,,2019-06-13T08:00:00,,,,0,0,0,0,0,0,0,0,,COLLEGE POINT BOULEVARD         ,4150766,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Following Too Closely,,,,,2019-05-20T21:30:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE RAMP                  ,4136245,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2019-04-22T12:50:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE RAMP                  ,4119097,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2019-04-30T19:30:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,4123442,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,,2019-04-27T23:30:00,,,,0,0,0,0,0,0,0,0,,BRONX WHITESTONE BRIDGE         ,4123363,Sedan,Sedan,,,,
,Passing or Lane Usage Improper,Unspecified,,,,BORDEN AVENUE,2019-03-09T11:47:00,,,,0,0,0,0,0,0,0,0,,GRAND AVENUE                    ,4094083,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,LINDEN BOULEVARD,2019-02-14T23:00:00,,,,0,0,0,0,0,0,0,0,,VANWYCK EXPRESSWAY              ,4081143,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2019-02-16T21:30:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN BRIDGE                 ,4081773,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,DITMARS BOULEVARD,2019-01-08T11:00:00,,,,0,0,0,0,0,0,0,0,,99 STREET                       ,4063687,Sedan,Sedan,,,,
,Passing Too Closely,Unspecified,,,,MAIN STREET,2019-01-06T18:30:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,4062615,Station Wagon/Sport Utility Vehicle,,,,,
,Driver Inattention/Distraction,,,,,VANWYCK EXPRESSWAY,2018-12-28T12:30:00,,,,0,0,0,0,1,0,1,0,,JAMAICA AVENUE                  ,4053681,,,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2018-12-21T05:40:00,,,,0,0,0,0,0,0,0,0,,NASSAU EXPRESSWAY               ,4049436,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2018-11-21T19:54:00,,,,0,0,0,0,0,0,0,0,,KINGS HIGHWAY                   ,4030713,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,,2018-11-11T17:30:00,,,,0,0,0,0,0,0,0,0,,TRIBOROUGH BRIDGE               ,4020791,Sedan,Taxi,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2018-10-13T01:00:00,,,,0,0,0,0,0,0,0,0,,MANHATTAN BR LOWER              ,4000042,Sedan,Sedan,,,,
,Reaction to Uninvolved Vehicle,Following Too Closely,,,,,2018-10-05T18:15:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER          ,3994782,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2018-09-27T14:51:00,,,,0,0,0,0,0,0,0,0,,BRONX WHITESTONE BRIDGE         ,3989214,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,Unspecified,,,,JAMAICA AVENUE,2018-08-31T21:13:00,,,,0,0,2,0,0,0,2,0,,VANWYCK EXPRESSWAY              ,3971552,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unsafe Lane Changing,Unspecified,,,,,2018-08-30T11:45:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN BATTERY TUNNEL         ,3971915,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Backing Unsafely,Passing Too Closely,,,,,2018-08-25T16:30:00,,,,0,0,0,0,0,0,0,0,,WEST END AVENUE                 ,3967986,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,,,,,GRAND CENTRAL PARKWAY,2018-08-09T00:00:00,,,,0,0,0,0,0,0,0,0,,UNION TURNPIKE                  ,3958248,Pick-up Truck,,,,,
,Following Too Closely,Unspecified,,,,,2018-06-26T07:00:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3929196,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,SHORE ROAD,2018-05-28T17:00:00,,,,0,0,0,0,0,0,0,0,,CITY ISLAND ROAD                ,3911161,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,UTOPIA PARKWAY,2018-05-08T09:00:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3896599,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,,2018-04-26T00:35:00,,,,0,0,0,0,0,0,0,0,1         PARKVIEW TERRACE              ,,3892764,Sedan,,,,,
,Following Too Closely,Unspecified,,,,EASTCHESTER ROAD,2018-04-09T12:13:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY SOUTH            ,3878205,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2018-04-14T12:30:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN QUEENS EXPRESSWAY      ,3880518,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
,Unsafe Lane Changing,Unspecified,,,,FRANCIS LEWIS BOULEVARD,2018-03-31T21:30:00,,,,0,0,0,0,0,0,0,0,,LAURELTON PARKWAY               ,3872770,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,ROCKAWAY BOULEVARD,2018-02-26T23:00:00,,,,0,0,0,0,0,0,0,0,,VANWYCK EXPRESSWAY              ,3853250,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,BARTOW CIRCLE,2018-02-16T15:00:00,,,,0,0,2,0,0,0,2,0,,SHORE ROAD                      ,3847908,Sedan,Taxi,,,,
,Following Too Closely,Unspecified,,,,pitkin ave,2018-01-05T21:00:00,,,,0,0,1,0,0,0,1,0,,CONDUIT AVENUE                  ,3823856,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2017-12-10T17:25:00,,,,0,0,0,0,0,0,0,0,,EAST FORDHAM ROAD               ,3806626,Sedan,Bus,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2017-12-19T16:40:00,,,,0,0,0,0,0,0,0,0,,OCEAN AVENUE                    ,3812641,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,,2017-11-30T11:49:00,,,,0,0,0,0,0,0,0,0,79        sheridan street               ,,3800352,Station Wagon/Sport Utility Vehicle,,,,,
,Following Too Closely,Unspecified,,,,,2017-10-27T08:20:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER EXPRESSWAY             ,3777657,Sedan,Sedan,,,,
,Driver Inexperience,Unspecified,,,,,2017-11-06T06:30:00,,,,0,0,0,0,0,0,0,0,,FLUSHING AVENUE                 ,3785292,Taxi,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,OLIVER STREET,2017-10-04T18:50:00,,,,0,0,0,0,0,0,0,0,,CHATHAM SQUARE                  ,3763655,Sedan,Box Truck,,,,
,Passing or Lane Usage Improper,Unspecified,,,,,2017-09-28T16:50:00,,,,0,0,0,0,0,0,0,0,,,3764167,Dump,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2017-10-04T12:50:00,,,,0,0,0,0,0,0,0,0,,DONGAN HILL AVENUE              ,3763236,Sedan,Sedan,,,,
,Driver Inexperience,,,,,,2017-07-10T20:10:00,,,,1,0,0,0,0,0,1,0,109       EAST DRIVE                    ,,3708982,Bike,,,,,
,Following Too Closely,Unspecified,,,,,2017-09-17T18:00:00,,,,0,0,1,0,0,0,1,0,,STATEN ISLAND EXPRESSWAY        ,3754010,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,MAJOR DEEGAN EXPRESSWAY,2017-07-31T20:08:00,,,,0,0,0,0,0,0,0,0,,WILLIS AVENUE BRIDGE APPROACH   ,3722454,Sedan,Tractor Truck Diesel,,,,
,Following Too Closely,Unspecified,,,,,2017-08-19T16:30:00,,,,0,0,0,0,0,0,0,0,,STATEN ISLAND EXPRESSWAY        ,3734722,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Turning Improperly,Unspecified,,,,MAIN STREET,2017-08-01T17:00:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3722799,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,DITMARS BOULEVARD,2017-08-23T08:00:00,,,,0,0,1,0,0,0,1,0,,97 STREET                       ,3777931,Sedan,Bus,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,OCEAN AVENUE,2017-07-07T12:35:00,,,,0,0,0,0,0,0,0,0,,SHORE PARKWAY                   ,3707468,Sedan,Sedan,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,MAIN STREET,2017-07-12T11:35:00,,,,0,0,0,0,0,0,0,0,,HARDING EXPRESSWAY              ,3710008,Station Wagon/Sport Utility Vehicle,Van,,,,
,Driver Inattention/Distraction,,,,,,2017-05-21T01:40:00,,,,0,0,0,0,1,0,1,0,,DEAN STREET                     ,3675169,Sedan,,,,,
,Lane Marking Improper/Inadequate,Unspecified,,,,,2017-05-22T11:40:00,,,,0,0,0,0,0,0,0,0,,BAY PARKWAY                     ,3675877,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,,,,
,Lost Consciousness,,,,,,2017-06-03T11:55:00,,,,1,0,0,0,0,0,1,0,85        WEST DRIVE                    ,,3683302,Bike,,,,,
,Unsafe Lane Changing,Passing Too Closely,,,,HANSON PLACE,2017-04-27T07:45:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3658574,Sedan,PK,,,,
,Unsafe Lane Changing,Unspecified,,,,,2017-04-27T20:20:00,,,,0,0,0,0,0,0,0,0,,WHITESTONE EXPRESSWAY           ,3658768,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Oversized Vehicle,Unspecified,,,,,2017-04-28T16:15:00,,,,0,0,0,0,0,0,0,0,,METROPOLITAN AVENUE             ,3659441,Station Wagon/Sport Utility Vehicle,Box Truck,,,,
,Following Too Closely,Unspecified,,,,EAST 20 STREET,2017-05-04T00:00:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE                       ,3663623,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,,2017-04-22T17:15:00,,,,0,0,2,0,0,0,2,0,1805      ST. JOHNS                     ,,3657283,Sedan,Sedan,,,,
,Backing Unsafely,Unspecified,,,,SOUTH STREET,2017-02-23T00:00:00,,,,0,0,0,0,0,0,0,0,,GOUVERNEUR SLIP                 ,3622930,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Passenger Distraction,,,,,2017-04-07T10:34:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN QUEENS EXPRESSWAY      ,3647353,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,,,,,WEST 38 STREET,2017-02-12T19:50:00,,,,0,0,3,0,0,0,0,0,,12 AVENUE                       ,4024480,Station Wagon/Sport Utility Vehicle,,,,,
,Backing Unsafely,Unspecified,,,,CASTLE HILL AVENUE,2017-02-10T12:43:00,,,,0,0,0,0,0,0,0,0,,CROSS BRONX EXPWY SERVICE ROAD  ,3615326,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,HARDING EXPRESSWAY,2017-01-26T19:00:00,,,,0,0,0,0,0,0,0,0,,188 STREET                      ,3605093,Sedan,Sedan,,,,
,Aggressive Driving/Road Rage,Unspecified,,,,,2017-01-05T11:35:00,,,,0,0,0,0,0,0,0,0,,BELT PARKWAY                    ,3593302,Sedan,Sedan,,,,
,Backing Unsafely,Unspecified,,,,,2017-01-04T13:40:00,,,,0,0,0,0,0,0,0,0,49 STREET                               ,,3592507,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-12-09T17:00:00,,,,0,0,0,0,0,0,0,0,,STATEN ISLAND EXPRESSWAY        ,3577811,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
