"","date","NUM_COLLISIONS","no_v","one_v","two_v","three_v","four_v","five_v","year","mo","da","rain_drizzle","snow_ice_pellets","hail","thunder","wdsp","visib","prcp","temp"
"34","2012-08-03",589,0,55,506,25,1,2,2012,8,3,0,0,0,0,4.4,6,0,77.9
"35","2012-08-04",568,0,59,475,27,7,0,2012,8,4,0,0,0,0,4.1,5.7,0,77.9
"36","2012-08-05",518,0,57,422,30,5,4,2012,8,5,1,0,0,0,6.1,5.8,0,78.1
"37","2012-08-06",593,0,54,498,31,7,3,2012,8,6,1,0,0,0,5.5,8.9,0.49,77.3
"38","2012-08-07",547,0,61,447,36,3,0,2012,8,7,0,0,0,0,1.2,10,0.01,75.2
"39","2012-08-08",528,0,51,448,21,7,1,2012,8,8,0,0,0,0,1.1,8.8,0,77.8
"40","2012-08-09",581,0,63,485,27,4,2,2012,8,9,0,0,0,0,2.3,9.3,0,78.2
"41","2012-08-10",617,0,53,518,40,5,1,2012,8,10,1,0,0,0,5.4,7.6,0,75.3
"42","2012-08-11",507,0,37,433,27,7,3,2012,8,11,1,0,0,0,6.9,7.8,1.1,77.7
"43","2012-08-12",505,0,51,399,44,10,1,2012,8,12,1,0,0,0,5.7,8.7,0.62,77.8
"44","2012-08-13",504,0,50,417,32,3,2,2012,8,13,0,0,0,0,4.3,9.2,0.05,76.3
"45","2012-08-14",520,0,51,436,26,4,3,2012,8,14,0,0,0,0,2.3,9.6,0,76
"46","2012-08-15",602,0,53,501,40,7,1,2012,8,15,1,0,0,0,3.5,6.5,0.01,73.6
"47","2012-08-16",613,0,52,527,26,6,2,2012,8,16,1,0,0,0,3.1,6.7,0.15,74
"48","2012-08-17",574,0,48,482,34,8,2,2012,8,17,1,0,0,0,3.3,9.5,0,77.9
"49","2012-08-18",540,0,58,450,27,5,0,2012,8,18,1,0,0,0,4.1,8.4,0.01,69.8
"50","2012-08-19",467,0,52,371,32,6,6,2012,8,19,0,0,0,0,1.3,10,0.23,68.7
"51","2012-08-20",473,0,43,395,27,7,1,2012,8,20,0,0,0,0,0.8,10,0,71.4
"52","2012-08-21",482,0,38,410,28,3,3,2012,8,21,0,0,0,0,2.5,10,0,72.8
"53","2012-08-22",504,0,40,428,28,7,1,2012,8,22,0,0,0,0,1.7,9.8,0,73.8
"54","2012-08-23",574,0,46,483,36,6,3,2012,8,23,0,0,0,0,2,8.9,0,74.7
"55","2012-08-24",601,0,49,505,41,4,2,2012,8,24,0,0,0,0,2,9.3,0,77.3
"56","2012-08-25",474,0,49,383,30,6,6,2012,8,25,0,0,0,0,3.2,7.3,0.01,75.7
"57","2012-08-26",471,0,53,382,28,8,0,2012,8,26,0,0,0,0,4.6,10,0,73.9
"58","2012-08-27",548,0,52,460,33,2,1,2012,8,27,1,0,0,0,2.7,8.6,0.01,71.9
"59","2012-08-28",587,0,54,490,39,4,0,2012,8,28,1,0,0,0,6,9,0.75,77.9
"60","2012-08-29",550,0,35,473,38,2,2,2012,8,29,0,0,0,0,4.7,10,0.01,73.3
"61","2012-08-30",618,0,56,532,24,4,2,2012,8,30,0,0,0,0,2.5,10,0,72
"62","2012-08-31",701,0,58,585,41,13,4,2012,8,31,0,0,0,0,3.9,9.9,0,78.7
"63","2012-09-01",515,0,47,422,33,9,4,2012,9,1,0,0,0,0,4.7,9.9,0,81.6
"64","2012-09-02",421,0,44,352,22,2,1,2012,9,2,0,0,0,0,3.2,9.8,0,75.4
"65","2012-09-03",373,0,39,301,25,6,2,2012,9,3,0,0,0,0,4.5,10,0,73.8
"66","2012-09-04",606,0,72,486,38,7,3,2012,9,4,1,0,0,0,4.7,8.8,0.02,72.6
"67","2012-09-05",601,0,49,506,35,8,3,2012,9,5,1,0,0,0,5.4,6.7,0.13,75.2
"68","2012-09-06",572,0,43,499,19,8,3,2012,9,6,1,0,0,0,2.3,9.7,0.59,73.2
"69","2012-09-07",680,0,57,577,38,6,2,2012,9,7,0,0,0,0,2.7,8.7,0,77
"70","2012-09-08",598,0,73,487,32,5,1,2012,9,8,1,0,0,0,5.8,8.8,0,75.3
"71","2012-09-09",464,0,58,370,27,7,2,2012,9,9,1,0,0,0,3,9.5,0.04,68.4
"72","2012-09-10",637,0,52,546,32,6,1,2012,9,10,1,0,0,0,5.7,10,0.16,65.4
"73","2012-09-11",521,0,43,448,25,4,1,2012,9,11,0,0,0,0,3.1,10,0,62.8
"74","2012-09-12",651,0,49,560,31,9,2,2012,9,12,0,0,0,0,2.1,10,0,68.5
"75","2012-09-13",632,0,58,540,27,7,0,2012,9,13,0,0,0,0,3.2,10,0,70.4
"76","2012-09-14",609,0,57,509,32,10,1,2012,9,14,0,0,0,0,2.3,9.7,0,70.5
"77","2012-09-15",557,0,44,479,21,9,4,2012,9,15,1,0,0,0,5.1,10,0.01,67.2
"78","2012-09-16",458,0,34,393,28,3,0,2012,9,16,0,0,0,0,1.9,10,0,65.1
"79","2012-09-17",452,0,53,368,25,6,0,2012,9,17,0,0,0,0,2.2,10,0,66.5
"80","2012-09-18",556,0,129,393,24,7,3,2012,9,18,1,0,0,0,5.5,7.6,0.11,70.6
"81","2012-09-19",612,0,67,501,34,10,0,2012,9,19,1,0,0,0,6.3,7.6,0.68,66.7
"82","2012-09-20",522,0,42,446,24,9,1,2012,9,20,0,0,0,0,4.6,10,0.04,61
"83","2012-09-21",654,0,56,554,34,9,1,2012,9,21,1,0,0,0,4.7,10,0,64.7
"84","2012-09-22",547,0,67,439,33,7,1,2012,9,22,1,0,0,0,5.6,8.1,0.01,66.3
"85","2012-09-23",480,0,56,390,29,3,2,2012,9,23,1,0,0,0,6.4,9,0.22,63.8
"86","2012-09-24",562,0,54,478,25,4,1,2012,9,24,0,0,0,0,3.3,10,0,59
"87","2012-09-25",594,0,70,486,31,4,3,2012,9,25,0,0,0,0,4.9,10,0,62
"88","2012-09-26",404,0,49,335,17,2,1,2012,9,26,0,0,0,0,4.3,10,0,67.7
"89","2012-09-27",620,0,57,527,28,5,3,2012,9,27,1,0,0,0,1.8,8.7,0.01,69
"90","2012-09-28",703,0,81,576,35,7,4,2012,9,28,1,0,0,0,5.1,5.9,0.25,65.2
"91","2012-09-29",485,0,41,411,27,4,2,2012,9,29,1,0,0,0,3.9,7.6,0.37,62.4
"92","2012-09-30",449,0,35,376,28,7,3,2012,9,30,1,0,0,0,3.9,9.5,0.75,60.5
"93","2012-10-01",555,0,53,474,24,2,2,2012,10,1,0,0,0,0,4.7,10,0.46,60.6
"94","2012-10-02",593,0,62,497,29,4,1,2012,10,2,1,0,0,0,2.4,7.3,0,63.7
"95","2012-10-03",502,0,48,416,32,6,0,2012,10,3,1,0,0,0,3.5,1.5,0.45,65.6
"96","2012-10-04",554,0,48,479,21,4,2,2012,10,4,1,0,0,0,2.2,2.9,0.01,68.6
"97","2012-10-05",693,0,69,570,46,4,4,2012,10,5,0,0,0,0,3.3,8.4,0,67.8
"98","2012-10-06",500,0,52,411,31,5,1,2012,10,6,0,0,0,0,5.2,7,0.01,66.1
"99","2012-10-07",481,0,74,378,17,5,7,2012,10,7,1,0,0,0,2,9.3,0.04,52.5
"100","2012-10-08",376,0,38,312,20,3,3,2012,10,8,1,0,0,0,3.5,9,0.2,49.9
"101","2012-10-09",570,0,57,475,35,3,0,2012,10,9,1,0,0,0,5.6,8.5,0.46,53.8
"102","2012-10-10",640,0,75,525,34,5,1,2012,10,10,1,0,0,0,5.2,7.5,0.03,58.2
"103","2012-10-11",657,0,74,538,36,9,0,2012,10,11,0,0,0,0,5.5,10,0.02,53.4
"104","2012-10-12",594,0,58,494,30,7,5,2012,10,12,0,0,0,0,5.3,10,0,51.2
"105","2012-10-13",547,0,50,457,33,5,2,2012,10,13,0,0,0,0,3.1,10,0,45.2
"106","2012-10-14",517,0,48,426,28,11,4,2012,10,14,0,0,0,0,5,10,0,58.7
"107","2012-10-15",607,0,56,508,38,5,0,2012,10,15,1,0,0,0,4.5,9.4,0,65.3
"108","2012-10-16",602,0,71,492,33,6,0,2012,10,16,1,0,0,0,5.8,9.9,0.12,55.8
"109","2012-10-17",615,0,69,497,43,3,3,2012,10,17,0,0,0,0,1.3,10,0,51.9
"110","2012-10-18",630,0,52,532,38,5,3,2012,10,18,0,0,0,0,3.1,9.7,0,56.8
"111","2012-10-19",738,0,77,615,39,5,2,2012,10,19,1,0,0,0,5.2,6.1,0.25,63.2
"112","2012-10-20",587,0,58,490,32,3,4,2012,10,20,1,0,0,0,6.3,5,0.13,62.7
"113","2012-10-21",426,0,44,342,34,4,2,2012,10,21,0,0,0,0,5,10,0,56.5
"114","2012-10-22",609,0,61,518,27,3,0,2012,10,22,0,0,0,0,4.3,10,0,57.8
"115","2012-10-23",522,0,51,452,16,3,0,2012,10,23,1,0,0,0,2.2,9.7,0,59
"116","2012-10-24",494,0,56,401,28,8,1,2012,10,24,1,0,0,0,4.1,6.4,0.07,57.1
"117","2012-10-25",511,0,53,426,28,3,1,2012,10,25,0,0,0,0,3,10,0,58
"118","2012-10-26",598,0,62,500,27,7,2,2012,10,26,0,0,0,0,1.5,10,0,60.8
"119","2012-10-27",524,0,50,442,25,4,3,2012,10,27,0,0,0,0,4.3,9.6,0,61.9
"120","2012-10-28",403,0,41,328,21,9,4,2012,10,28,0,0,0,0,11.9,9.6,0,57.7
"121","2012-10-29",298,0,149,135,11,2,1,2012,10,29,1,0,0,0,18.7,6.1,0.03,56.9
"122","2012-10-30",372,0,150,205,12,4,1,2012,10,30,1,0,0,0,8.9,8.1,1.97,53.9
"123","2012-10-31",549,0,79,448,16,5,1,2012,10,31,1,0,0,0,5.5,8.6,0.06,49.7
"124","2012-11-01",439,0,43,376,14,5,1,2012,11,1,0,0,0,0,6,10,0.04,47.7
"125","2012-11-02",345,0,40,291,12,2,0,2012,11,2,1,0,0,0,5.2,10,0,48.2
"126","2012-11-03",307,0,30,263,13,1,0,2012,11,3,0,0,0,0,7.6,10,0.01,44.7
"127","2012-11-04",344,0,43,281,14,6,0,2012,11,4,0,0,0,0,6.1,10,0,43.2
"128","2012-11-05",479,0,48,407,20,4,0,2012,11,5,1,0,0,0,5.5,10,0,42.3
"129","2012-11-06",514,0,57,426,25,5,1,2012,11,6,0,0,0,0,4.8,10,0.07,36.6
"130","2012-11-07",718,0,111,571,32,4,0,2012,11,7,1,1,0,0,10.1,7.3,0,37.1
"131","2012-11-08",550,0,92,433,18,6,1,2012,11,8,1,1,0,0,15.2,5.1,2.45,41.2
"132","2012-11-09",688,0,84,577,19,7,1,2012,11,9,1,0,0,0,9.6,9.8,0.17,43.3
"133","2012-11-10",444,0,47,368,18,6,5,2012,11,10,0,0,0,0,2,7.9,0,48
"134","2012-11-11",526,0,72,418,28,6,2,2012,11,11,0,0,0,0,1.6,7,0,54.7
"135","2012-11-12",547,0,70,438,33,4,2,2012,11,12,0,0,0,0,2.9,7.4,0,56.7
"136","2012-11-13",648,0,65,539,31,7,6,2012,11,13,1,0,0,0,6.1,8.8,0.06,52.4
"137","2012-11-14",625,0,60,539,20,5,1,2012,11,14,1,0,0,0,7.7,9.6,0.33,42.8
"138","2012-11-15",623,0,67,532,20,3,1,2012,11,15,0,0,0,0,5.3,10,0,40.4
"139","2012-11-16",672,0,60,572,39,1,0,2012,11,16,1,0,0,0,5.8,9.7,0,41.9
"140","2012-11-17",542,0,58,440,34,5,5,2012,11,17,0,0,0,0,4.7,10,0,43.6
"141","2012-11-18",446,0,45,367,27,5,2,2012,11,18,0,0,0,0,5.5,9.8,0,43.2
"142","2012-11-19",585,0,51,498,31,4,1,2012,11,19,0,0,0,0,6.3,10,0,43
"143","2012-11-20",671,0,68,570,27,3,3,2012,11,20,0,0,0,0,3.6,10,0,44.4
"144","2012-11-21",689,0,57,597,28,7,0,2012,11,21,0,0,0,0,4.2,10,0,46.5
"145","2012-11-22",384,0,28,316,29,6,5,2012,11,22,0,0,0,0,3.4,10,0,47.3
"146","2012-11-23",481,0,51,407,18,4,1,2012,11,23,0,0,0,0,3.4,8.9,0,48.3
"147","2012-11-24",458,0,40,386,27,4,1,2012,11,24,1,0,0,0,7.6,9.5,0.01,44.1
"148","2012-11-25",415,0,30,346,30,5,4,2012,11,25,0,0,0,0,7.1,10,0,36.6
"149","2012-11-26",563,0,49,476,31,5,2,2012,11,26,0,0,0,0,4.9,10,0,40.3
"150","2012-11-27",583,0,81,476,24,1,1,2012,11,27,1,1,0,0,4.4,7,0,38.7
"151","2012-11-28",512,0,57,426,22,6,1,2012,11,28,1,0,0,0,7.1,9.3,0.59,37.5
"152","2012-11-29",515,0,57,428,24,6,0,2012,11,29,0,0,0,0,5.8,9.7,0.01,37.5
"153","2012-11-30",576,0,63,482,28,2,1,2012,11,30,0,0,0,0,4.7,9.3,0,41.3
"154","2012-12-01",480,0,50,390,30,9,1,2012,12,1,1,0,0,0,9.2,9.3,0,38.5
"155","2012-12-02",455,0,60,355,29,8,3,2012,12,2,0,0,0,0,3,3.9,0.08,44.3
"156","2012-12-03",621,0,59,529,31,1,1,2012,12,3,1,0,0,0,3.9,7,0.04,53.5
"157","2012-12-04",621,0,60,511,38,7,5,2012,12,4,1,0,0,0,2.9,5.6,0.04,51.9
"158","2012-12-05",514,0,65,417,26,5,1,2012,12,5,1,0,0,0,6.3,9.1,0.01,52.6
"159","2012-12-06",620,0,52,526,30,10,2,2012,12,6,0,0,0,0,3.6,10,0.01,35
"160","2012-12-07",714,0,110,563,35,3,3,2012,12,7,1,0,0,0,1.9,7.9,0,38.8
"161","2012-12-08",580,0,85,452,35,6,2,2012,12,8,1,0,0,0,3.5,3.7,0.32,47.3
"162","2012-12-09",544,0,98,406,31,9,0,2012,12,9,1,0,0,0,5.4,7.2,0.25,46.2
"163","2012-12-10",619,0,83,499,29,4,4,2012,12,10,1,0,0,0,5.7,2.8,0.35,50.3
"164","2012-12-11",578,0,56,482,29,8,3,2012,12,11,1,0,0,0,6,7.3,0.23,50.1
"165","2012-12-12",550,0,52,466,26,5,1,2012,12,12,0,0,0,0,3.3,10,0.01,40.1
"166","2012-12-13",545,0,62,455,23,5,0,2012,12,13,0,0,0,0,1.7,10,0,40.3
"167","2012-12-14",648,0,73,527,41,3,4,2012,12,14,0,0,0,0,4.1,10,0,41.4
"168","2012-12-15",523,0,59,427,32,3,2,2012,12,15,0,0,0,0,2.8,9.9,0,42.6
"169","2012-12-16",500,0,80,365,41,11,3,2012,12,16,1,0,0,0,6.5,7.5,0,44.5
"170","2012-12-17",649,0,101,510,31,4,3,2012,12,17,1,0,0,0,9.5,5.6,0.44,42
"171","2012-12-18",645,0,78,517,43,6,1,2012,12,18,1,0,0,0,7,5.3,0.34,47.3
"172","2012-12-19",590,0,60,485,38,6,1,2012,12,19,1,0,0,0,9.3,10,0.07,44
"173","2012-12-20",606,0,56,514,36,0,0,2012,12,20,1,0,0,0,8.5,10,0.02,39.8
"174","2012-12-21",751,0,113,575,46,11,6,2012,12,21,1,0,0,0,9.4,7.1,0.56,47.3
"175","2012-12-22",542,0,53,451,30,6,2,2012,12,22,1,1,0,0,10.6,10,0.7,37.4
"176","2012-12-23",408,0,31,344,24,5,4,2012,12,23,0,0,0,0,7.6,10,0.01,37.8
"177","2012-12-24",518,0,54,438,22,3,1,2012,12,24,0,0,0,0,3,10,0,37
"178","2012-12-25",354,0,51,283,14,5,1,2012,12,25,1,1,0,0,4.8,6.8,0.01,37.5
"179","2012-12-26",531,0,101,392,34,4,0,2012,12,26,1,1,0,0,9.5,8.8,0.13,32.2
"180","2012-12-27",525,0,75,415,29,5,1,2012,12,27,1,0,0,0,12.4,6,0.84,39.1
"181","2012-12-28",557,0,65,448,33,8,3,2012,12,28,1,1,0,0,10,9.4,0.37,33
"182","2012-12-29",442,0,80,322,29,10,1,2012,12,29,1,1,0,0,5.3,7.8,0,32.5
"183","2012-12-30",411,0,69,311,22,8,1,2012,12,30,1,1,0,0,11.9,8.8,1.9,32.4
"184","2012-12-31",482,0,59,394,23,4,2,2012,12,31,0,0,0,0,6.8,10,0,31.5
"185","2013-01-01",381,0,62,278,29,10,2,2013,1,1,0,0,0,0,15,10,0,38
"186","2013-01-02",480,0,44,397,28,10,1,2013,1,2,0,0,0,0,12.4,10,0,27.5
"187","2013-01-03",549,0,62,453,30,2,2,2013,1,3,0,0,0,0,9.8,10,0,21.8
"188","2013-01-04",505,0,47,430,23,4,1,2013,1,4,0,0,0,0,11.3,10,0,32.2
"189","2013-01-05",389,0,44,317,21,5,2,2013,1,5,0,0,0,0,13.2,10,0,37.3
"190","2013-01-06",393,0,42,310,28,12,1,2013,1,6,1,0,0,0,5.9,9.8,0.01,35.7
"191","2013-01-07",521,0,58,430,29,2,2,2013,1,7,0,0,0,0,8.5,8.8,0.01,35.9
"192","2013-01-08",513,0,50,431,24,7,1,2013,1,8,0,0,0,0,10.4,9.8,0,39.8
"193","2013-01-09",487,0,57,403,17,9,1,2013,1,9,0,0,0,0,5.3,6.8,0,39.9
"194","2013-01-10",555,0,77,444,29,4,1,2013,1,10,0,0,0,0,14.7,9.9,0,43.5
"195","2013-01-11",660,2,119,497,31,10,1,2013,1,11,0,0,0,0,5.4,10,0,38
"196","2013-01-12",475,0,58,378,26,10,3,2013,1,12,1,0,0,0,7.9,7.1,0.17,42.7
"197","2013-01-13",373,1,56,281,28,4,3,2013,1,13,0,0,0,0,5.8,4.3,0.01,45.4
"198","2013-01-14",542,0,65,442,31,4,0,2013,1,14,0,0,0,0,8.2,1.3,0,47.2
"199","2013-01-15",516,1,69,416,25,4,1,2013,1,15,1,0,0,0,8,9.5,0.24,42.3
"200","2013-01-16",578,0,98,441,30,7,2,2013,1,16,1,0,0,0,8.8,7,0.35,41.6
"201","2013-01-17",491,1,63,402,18,6,1,2013,1,17,0,0,0,0,8.6,8.6,0.47,39.4
"202","2013-01-18",561,0,45,485,24,3,4,2013,1,18,1,1,0,0,15,7.5,0.01,28.1
"203","2013-01-19",484,0,50,404,28,2,0,2013,1,19,0,0,0,0,15.3,9.2,0,35.9
"204","2013-01-20",393,1,39,316,25,7,5,2013,1,20,0,0,0,0,14.9,7,0,46.3
"205","2013-01-21",355,0,48,276,24,2,5,2013,1,21,0,1,0,0,10.1,9.2,0,31.2
"206","2013-01-22",544,0,57,453,28,5,1,2013,1,22,0,1,0,0,10.8,6.5,0.14,26.3
"207","2013-01-23",545,1,55,449,32,7,1,2013,1,23,0,0,0,0,15.6,10,0.01,16.2
"208","2013-01-24",554,0,65,447,31,9,2,2013,1,24,0,0,0,0,15.5,10,0,14.3
"209","2013-01-25",674,2,77,555,32,6,2,2013,1,25,0,0,0,0,13.6,10,0,19
"210","2013-01-26",558,0,84,424,41,7,2,2013,1,26,0,1,0,0,10.5,8.6,0,24.4
"211","2013-01-27",429,0,60,334,30,5,0,2013,1,27,0,0,0,0,16.3,10,0,21.7
"212","2013-01-28",507,0,86,388,23,6,4,2013,1,28,1,1,0,0,7.4,8.8,0,27.3
"213","2013-01-29",542,0,78,425,30,8,1,2013,1,29,1,0,0,0,4.9,2.6,0.08,35.4
"214","2013-01-30",497,0,58,404,27,4,4,2013,1,30,1,0,0,0,12.4,4.4,0.03,45.1
"215","2013-01-31",592,0,76,473,34,5,4,2013,1,31,1,0,0,0,23.1,5.9,0.02,46.5
"216","2013-02-01",574,1,68,472,24,7,2,2013,2,1,0,0,0,0,18.2,10,0.23,33.1
"217","2013-02-02",534,0,58,432,36,7,1,2013,2,2,0,0,0,0,12.5,10,0,27.6
"218","2013-02-03",445,0,49,347,37,7,5,2013,2,3,0,1,0,0,9.8,8.2,0.01,30.7
"219","2013-02-04",553,0,65,450,28,6,4,2013,2,4,0,1,0,0,15.5,8.8,0,29
"220","2013-02-05",566,0,78,463,18,5,2,2013,2,5,0,1,0,0,8.2,7.8,0,28.7
"221","2013-02-06",566,3,68,454,28,8,5,2013,2,6,0,1,0,0,6.1,9,0.02,34.8
"222","2013-02-07",526,0,70,427,23,4,2,2013,2,7,0,0,0,0,10.2,10,0,29.4
"223","2013-02-08",703,2,118,529,46,6,2,2013,2,8,1,1,0,0,16.3,7.3,0,34.3
"224","2013-02-09",403,0,54,320,22,4,3,2013,2,9,1,1,0,0,35.3,1.2,1.64,29.2
"225","2013-02-10",400,0,50,315,30,3,2,2013,2,10,0,1,0,0,16.4,8.9,0.06,24.7
"226","2013-02-11",475,0,74,376,23,2,0,2013,2,11,1,0,0,0,9.8,7.6,0,36.4
"227","2013-02-12",498,0,48,423,18,7,2,2013,2,12,0,0,0,0,11.9,6.5,0.36,41.4
"228","2013-02-13",570,2,71,467,24,4,2,2013,2,13,0,0,0,0,7.7,10,0,36.1
"229","2013-02-14",631,1,75,515,34,6,0,2013,2,14,1,1,0,0,8.9,8.4,0.11,36.6
"230","2013-02-15",604,0,77,486,34,6,1,2013,2,15,0,0,0,0,6,9.8,0,38.6
"231","2013-02-16",449,0,42,376,24,4,3,2013,2,16,0,0,0,0,8.6,9.2,0,39.2
"232","2013-02-17",447,1,60,356,25,4,1,2013,2,17,1,1,0,0,23.6,4.2,0.01,30.9
"233","2013-02-18",398,1,39,335,19,2,2,2013,2,18,0,0,0,0,22,9.3,0,24.6
"234","2013-02-19",477,1,81,371,17,5,2,2013,2,19,1,0,0,0,10.6,10,0,36.7
"235","2013-02-20",510,0,57,425,26,2,0,2013,2,20,1,0,0,0,16.9,8.5,0.65,38.7
"236","2013-02-21",498,0,59,409,22,4,4,2013,2,21,0,0,0,0,17.3,10,0.03,30.6
"237","2013-02-22",531,1,59,437,29,5,0,2013,2,22,1,1,0,0,14.2,9.8,0,35.4
"238","2013-02-23",521,0,74,408,27,8,4,2013,2,23,1,1,0,0,7,9.7,0,36.3
"239","2013-02-24",426,0,52,342,24,5,3,2013,2,24,1,0,0,0,17.1,4.3,1.07,42.6
"240","2013-02-25",490,0,49,407,28,4,2,2013,2,25,1,1,0,0,13.4,8.3,0.75,37.5
"241","2013-02-26",537,0,74,420,31,10,2,2013,2,26,0,0,0,0,5,10,0.02,35
"242","2013-02-27",550,0,88,428,27,4,3,2013,2,27,1,0,0,0,18,5.9,0.24,44.1
"243","2013-02-28",517,1,46,439,25,5,1,2013,2,28,1,0,0,0,7.8,7.2,0.32,41.4
"244","2013-03-01",603,0,57,521,21,4,0,2013,3,1,1,0,0,0,10.6,9.4,0.08,39.3
"245","2013-03-02",474,0,42,393,30,6,3,2013,3,2,0,0,0,0,9.4,10,0,38.2
"246","2013-03-03",502,1,62,405,26,6,2,2013,3,3,0,0,0,0,7.1,10,0,37.4
"247","2013-03-04",597,0,60,491,32,11,3,2013,3,4,0,0,0,0,11.5,10,0,37
"248","2013-03-05",527,1,48,448,29,1,0,2013,3,5,1,0,0,0,14.9,9.9,0,38.5
"249","2013-03-06",475,1,68,388,11,4,3,2013,3,6,1,0,0,0,13.5,9.4,0.02,39.1
"250","2013-03-07",535,1,76,422,32,2,2,2013,3,7,1,1,0,0,31.6,4.1,0.8,38.3
"251","2013-03-08",851,0,85,706,48,9,3,2013,3,8,1,1,0,0,28.4,3.3,1.58,37.4
"252","2013-03-09",569,0,57,471,33,6,2,2013,3,9,0,0,0,0,24.9,9.9,0.4,39.2
"253","2013-03-10",415,1,34,346,26,7,1,2013,3,10,0,0,0,0,11.9,10,0,39
"254","2013-03-11",522,1,53,439,23,5,1,2013,3,11,0,0,0,0,6.5,10,0,39.9
"255","2013-03-12",547,0,79,435,25,6,2,2013,3,12,1,0,0,0,13.1,7.5,0,46
"256","2013-03-13",636,0,59,526,42,8,1,2013,3,13,1,0,0,0,13.1,7.1,0.54,46.3
"257","2013-03-14",557,0,56,471,21,7,2,2013,3,14,0,1,0,0,10.4,9.7,0.49,37
"258","2013-03-15",607,1,47,522,32,3,2,2013,3,15,0,0,0,0,18.5,10,0,31.2
"259","2013-03-16",521,2,68,413,32,6,0,2013,3,16,0,0,0,0,10.2,10,0,37.1
"260","2013-03-17",426,0,40,352,27,6,1,2013,3,17,0,1,0,0,7.5,9.9,0,34.8
"261","2013-03-18",623,1,72,500,38,9,3,2013,3,18,0,0,0,0,9,10,0,32.1
"262","2013-03-19",559,0,79,452,26,2,0,2013,3,19,1,0,0,0,16.5,4.6,0.41,39.6
